Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Weight of the World - English Version - J’Nique Nicole","岡部啓一","NieR:Automata Original Soundtrack","Favorite Songs","Favorite","JPA841700107","0qrvS8ysAmaXBz9uS4ot7M"
"The Power - Credits Song","Borislav Slavov","Baldur's Gate 3 (Original Game Soundtrack)","Favorite Songs","Favorite","BGA472329254","1hOgEVzzGu9AIzmFOHnmIO"
"La vaguelette","HOYO-MiX","Genshin Impact - La vaguelette (Original Game Soundtrack)","Favorite Songs","Favorite","DGA0L2373345","2BaGvcAlSSQE8zNLXM4VGv"
"Clair Obscur: Expedition 33 - Alicia - A COLORS SHOW","Alice Duport-Percier","Clair Obscur: Expedition 33 - Alicia - A COLORS SHOW","Favorite Songs","Favorite","DEXC82500078","3EMuJXzug2L4mjEUIEkfjG"
"Alicia","Lorien Testard","Clair Obscur: Expedition 33 (Original Soundtrack)","Favorite Songs","Favorite","NL8RL2513737","3j1lvwbdfj3xflDnQazc8n"
"Lumière","Lorien Testard","Clair Obscur: Expedition 33 (Original Soundtrack)","Favorite Songs","Favorite","NL8RL2513738","1A1XuDIYZxSKrQ6mzkWwAT"
"勿听（《黑神话：悟空》盘丝岭片尾曲）（Listen Not）","張紫寧(Winnie)","勿听（《黑神话：悟空》盘丝岭片尾曲）（Listen Not）","Favorite Songs","Favorite","HKG732455325","1qzckNoWUywnkdYYklWmTs"
"看见（《黑神话：悟空》黑风山片尾曲）（I See）","陳鴻宇","看见（《黑神话：悟空》黑风山片尾曲）（I See）","Favorite Songs","Favorite","HKG732455322","3ejpojtizqlony9KMqEgld"
"屁（《黑神话：悟空》小西天片尾曲）（Nonsense!）","者來女","屁（《黑神话：悟空》小西天片尾曲）（Nonsense!）","Favorite Songs","Favorite","HKG732455324","3wH3dMU58oJetYo5UvY424"
"未竟（《黑神话：悟空》结局主题曲）（Unfinished）","秦勇","未竟（《黑神话：悟空》结局主题曲）（Unfinished）","Favorite Songs","Favorite","HKG732455330","6wSh7DtQRJeknT6MCsuMfu"
